time,author,messsage
0:16,I'M NOT A BARISTA,Oh yeah :goodvibes::goodvibes::goodvibes::goodvibes::goodvibes::goodvibes::goodvibes::goodvibes::goodvibes:
0:17,Lotte Pups,Good afternoon from Germany!
0:17,Luke Thoreson,Hello from Boston!
0:18,Adits,Hey from atl
0:18,Bobby Omari,Hey from California
0:18,Johannes Laudi,WHYYYY YOUTUBEEEE
0:18,musoforhire,recommended Comandante setting? I'm thinking 22?
0:18,anthony soliz,what's up from california :slightly_smiling_face:
0:19,Bobby Omari,!!!!
0:22,Xefox Music,I need a printer????
0:22,joon park,has anyone tried third wave water?
0:23,M J,Hello from Saudi Arabia
0:25,Brad Hunter,ready
0:26,Drew Morone,Hi from Flagler Beach Fl!
0:27,Win Anderson,Party!
0:27,3 Dot,lets gooooooooooooooo!
0:29,Hyewon Han,count down
0:30,Laurence Williams,Florida!
0:31,adrian.s.photography,"Alright, who tasted the grind sample. Be honest..."
0:31,jay9000,Good evening fellow coffee nerds
0:33,Vitalii H.,Ukraine here but I didn’t receive my coffee
0:35,Kunstbanause,Sagt man Geis
0:35,Rosaria Capuano,Hello from Naples
0:38,smellysiac ellysiac,I'm pretty upset that I missed the opportunity to buy this kit
0:39,O Oglethorpe,Here we go
0:39,QWERTY,Oh this is intereting!
0:39,Lars Golovitcher Petersen,Bah. I've ground it :disappointed_face: hehe
0:39,Spanish John,damn dont have a printer lol
0:40,Jozef,Hi from Hilversum!!!!!!!
0:40,Daniel Hershman-Rossi,I’ve got a couple local beans here to add to the tasting! Very excited.
0:41,Michael Andrews,Ooh nearly coffee time
0:42,Jake Meaker,"oh damn, already strated gringing"
0:42,leo soriano,"Hello from Mysuru, India!"
0:44,Tesla's Tech,for everyone that ground their coffee that's an oof
0:44,I'M NOT A BARISTA,Hello all coffee lovers
0:45,徐璐,Hello from China.
0:46,QWERTY,"interesting, if i could spell"
0:46,mattscarf,Don’t grind coffee yet!
0:47,Brosideon,how much do I weigh out
0:49,Adits,Hey will can u see this
0:49,Melvin Carlsson,oh my i already made my coffee :confused_face:
0:49,RoRORO,I don't have grinder :disappointed_face:
0:50,soyness,Hello ~
0:50,Studio Corax,don't grind it :))
0:50,Effie,letsgo!
0:51,zaiem meah,:( my stuff didnt arrive in time
0:51,Will Humphreys,Hello fellow Sheffield folk!
0:52,MackerelCat,"D smells very interesting, quite different from a b and c"
0:52,Daenara M,hurray coffee nerds
0:53,You Tube,Moooin! :grinning_face:
0:53,Drew Morone,Hello from Flagler Beach
0:54,a peander,hi! from spfld mo
0:55,Carlo Fajardo,Haven't received mine :(
0:58,Lee Houston,who else has already ground the goffee
0:58,Wahyu Nurlopaty,woww..
0:58,Michael Andrews,Hello from floridam
0:59,Drew Morone,I already did grind :disappointed_face:
1:01,Jonas C,damn I ground
1:01,soyness,"From Belgium, that is"
1:01,slytown,"the score sheet is the Prufrock one, just so you know."
1:02,Muhanned Ali,yesss
1:02,Steven S.,Greetings from Germany - Rheinland-Pfalz
1:03,mattscarf,I have enough to start again ...
1:03,Emil Boman,I want coffee right in my veins
1:03,StefanAntonio,"hello from indonesia, i dont even afford the kit lol but excited to watch"
1:03,Jigalo,damn already havee cofffee ready
1:03,Dan Hayes,I've ground my coffee already
1:04,Mirrodin,I could use a printer. I draw my own score sheet.
1:04,Spanish John,i already drank all the samples
1:05,clif barnett,"Started grinding, I was behind last time"
1:05,anh d,SEA is already pushing for the slurp!
1:05,Dom Ashton,How much coffee are we weighing?
1:06,Martijn Vanbuel,Hello from Belgium
1:07,Drew Morone,I did
1:08,Effie,5k peeps
1:08,IntelegentFool,we zoomin
1:08,Drew Morone,it's okay
1:09,Pimchanok R.,hello from bkk
1:09,Chris James,"Could've sworn it said you could grind the coffee an hour before, which is what I did..."
1:09,Joshua Senft,I already ground my beans
1:09,HIH HUH,hi from london
1:11,Brad Hunter,hi from london .ready....steady.....GO!
1:12,Tati Zamalloa,Hello from Lima Peru
1:13,徐璐,Hello from China.
1:13,matthew dwyer,barista encore settings?
1:14,Hongyu Qi,What's up from Swansea
1:14,Jinhee Lee,How much are we to weigh out?
1:14,DirkHH,"Good morning from Portland, OR"
1:14,Drew Morone,don't worry about grinding!
1:14,Tim Ineson,yup already ground
1:17,Drew Morone,hhaha
1:19,H4ppyL1ttl3Tr33,@Frenger were also in Marburg:goodvibes:
1:20,Paxton Peterson,So sad to miss this bc of work
1:21,atavax311,"oops, already ground the coffee..."
1:21,Taurui,Uhhh how much do I weigh for a 200ml cup? xD
1:21,Karlo E. Meléndez Peña,"Oops, I set the kettle to 100C already. I guess, I'll let it cool back down..."
1:21,Harry T Dyer,stopping grinding now.. whoops.. just ground A and B
1:22,Martin Bujwid,I am very excited!!!!! Hello from Boston
1:23,reardencode,"lol, already ground and boiling, apparently a bunch of us jumped the gun :)"
1:23,Lucas Munoz,i thought i read to grind before hand... lol
1:23,Malt & Pepper,oops
1:23,Mr Crapsalot,SEA people don't need sleep
1:23,Rob Pettifer,Canada in the house
1:24,Flaplo,12g to 200ml
1:25,John A Newton,"I’m not going to watch this, just came here to type this"
1:26,J Nattress,Coffee D smells amazing!
1:26,Ali Taleb,هلا هلااا
1:26,Jamie Tebbs,"Totally pre ground, i wanted to be prepared"
1:27,Simon Hopkins,"Hi Graham my coffee, but there are beans left I only did 12 g of each"
1:27,Joni Liang,12 grams of coffee
1:27,Eric Hilgendorf,lol I'm grinding my coffee right now
1:30,Simon McKenna,ground it here too .. would have taken too long otherwise aerogrind here..
1:31,Buta san,"Hello from Uppsala, Sweden!"
1:31,tommihommi1,everybody here not reading the FAQ
1:31,redpandamaniacal,"It's really hard to find distilled water in Japan. Ended up with 1.5 liters, had to split up the powder, and it ended up tasting odd, so local water for this one."
1:31,Flientist,Hahaah glad I'm not the only one with already ground coffee :grinning_squinting_face:
1:32,Laura James,already ground here too - only just finished though :slightly_smiling_face:
1:32,Emmanuel Omar Galarza,12 g coffee to 200ml watter
1:32,Brad Hunter,"HAVE FUN, GUS!!!"
1:33,MackerelCat,12g coffee
1:33,Joni Liang,12 grams for each cup
1:33,Malt & Pepper,ground already
1:33,Plasmonaut,"Hi from Celle, Germany"
1:33,Gail Frohnert,Yep - I ground already too - thought that was the idea.
1:33,Marius Henriksen,still haven't received the kit...
1:33,Luis Luo,hello from California!
1:34,gor86,Yo
1:37,Vihan Jain,"It's okay if you ground your coffee within the last hour, don't worry!"
1:37,Kosta,"welp, never received my kit :("
1:38,Ragoom,hiya
1:38,Dom M,"I've already ground the coffee too, keen bean"
1:38,Matt Tearle,"@MackerelCat agree, a very interesting smell indeed"
1:38,Nicholas Welna,Just discovered my printer is out of ink...
1:38,Carlo Fajardo,what's your comandante clicks for this???
1:39,Your Average Film,BRBRBRBRBR
1:39,Enoon,Wow!
1:39,O Oglethorpe,exciting stuff
1:40,Steven Hightop,Checking in from Toronto. Coffee didn't arrive. It wasn't;t shipped until September 23. Expected to arrive on Monday!!
1:40,Ebsan Uddin,REDY@!!@!!!!
1:40,Philip Coldwell,Can’t wait
1:41,Ilse Hernandez,hi
1:41,Robert Flaxman,"The FAQs said grinding in the hour leading up was fine, so I wouldn't stress too much"
1:41,jarrad huxtable,"Hello from Barnstaple, North Devon, England"
1:42,Joey Hahn,"Oh wow! Last time when I did it, I was working for Starbucks. Now, I'm watching and listening on my way to open in a local specialty Cafe! thanks for sticking with me James. :smiling_face_with_hearts:"
1:42,Willy Chua,:smiling_face_with_heart_eyes:
1:42,slytown,preground is fine i think
1:43,ILikeHoodies,is there a recording!
1:43,John Maniquis,"yup, ground my beans already, water is treated and heated. looks like I've already messed up lol"
1:44,Andy Lawless,2. weigh the coffee (how much?)
1:44,IntelegentFool,I'm not participating cuz I don't have all the fancy stuff we talk about so I'll just be here watching y'all do the good stuff
1:45,Fátima Santos,Onde andas Cavani?
1:46,Pavol Vašák,Slovakia greeting
1:48,ben06 Reig,hello
1:48,Bayle Quek,Hello World!
1:49,Phil Kan,"Yup couldn't wait, already ground! (and I do want to be quiter for the sleeping family :slightly_smiling_face: )"
1:50,A.M.E,wohoo
1:50,James Rourke-dunkley,Soo sad my kit didn’t arrive :loudly_crying_face:
1:51,Justin Peer,"ground mine half an hour ago, didn't know we should wait"
1:51,Lee Houston,19:10
1:52,Joe Nash,"The site said this about grinding: ""Any time in the hour or so before the event should work well. and there’ll also be some time at the start of the event to do some grinding too."""
1:52,Mathieu Gauthier,"Almost 6K people, that's sick"
1:53,Brian Troy,Hello from Philadelphia!
1:54,Joe Nash,so I think it's fine
1:54,Simme‘s Reviews,So exciting!
1:54,Alex Bain,"Hello from San Francisco, California!"
1:55,Lorraine Bauer,Yup ground already lol
1:55,Your Average Film,60g/L
1:57,Matt Volkens,Really bummed mine didn’t arrive!
1:59,Tesla's Tech,Oh the chat's speeding up!
1:59,Sam Gilmour,i think coffee D ios chinese
2:01,NaturligFunktion,so should we start grind now?
2:03,Star Jang,Neither did I.
2:05,TheRensvind,Where is the scoresheat?
2:06,Varian Foo,Eunice chow
2:07,Alfred Mani,Hello :balloon::balloon::balloon::balloon::balloon::balloon::balloon::balloon:
2:07,Dan Hayes,Has anyone smelt all the ground coffees yet? They're very different.
2:12,Varian Foo,I know you’re watching this
2:12,Emmanuel Omar Galarza,12 g coffee to 200ml watter
2:12,Márton Ferenci,excitement lvl 9000
2:12,ILikeHoodies,Hallo from Melbourne
2:13,slytown,How many kits did they send out?
2:14,Ryan Spaulding,"I'm on a hand grinder, so I've started grinding so I'll be ready in time"
2:14,Maria Lopez,Greetings from Spain! Great to be here.
2:15,Dan Hayes,Has anyone smelt all the ground coffees yet? They're very different.
2:15,DirkHH,6500
2:15,Paul Bunker,Jeez it said grind it now it says don't grind it.
2:16,John Erwin Veneracion,MANY EXCITE
2:17,Simon McKenna,smells very nice in my house :winking_face: all that ground coffee
2:17,Tech By Paco,My coffee test kit did not arrive yet. :frowning_face:
2:18,Emil Boman,Step 1: Grind coffee
2:18,DMGG,I ALREADY BOILED MY WATER MAAAN HAHAHAHAHAHAAHHA WILL THIS CHANGE MY EXPERIENCE HAHAHAHA
2:19,Drew Morone,There was a big discussion about pre-grinding on Home Barista a while ago and they concluded that it was fine and sometimes even better to
2:19,Steven S.,I ground mine at my c40 with 20 clicks
2:19,Chris,getting er ready
2:19,Johannes Laudi,i dont have my kit yet.. but atleast i got my boba tea
2:19,Josh Tenenbaum,Omgggggg I’m so excited <3 even if I don’t have a pack haha
2:20,Bagus Sosvikal,I am here. :grinning_face_with_smiling_eyes:
2:20,Shauleen,I am here
2:20,Tom Connery,yeah they smell amazing
2:21,Wahyu Nurlopaty,noo..i'm at work now.shouldn't get night shift:pensive_face:
2:22,Tom Connery,as per
2:23,Maybelle Chappie,Same. I’ll just be doing drip
2:23,FireVulpez,How much coffee are we using per cup?
2:24,Casper Slots,Hello from Denmark
2:24,Vitalii H.,Ukraine :waving_hand:
2:25,Joe Nash,@TheRensvind resources page on the site
2:25,John Maniquis,Hi @Alex Bain I'm also repping SF YAY AREA
2:25,Seth Marcell,i am here for this!
2:26,Varian Foo,Eunice chowwwwwwww
2:28,Gail Frohnert,I only just ground the coffee - on coarsest setting still finer than sample.
2:28,The Love Cafe,MELBOURNE
2:28,Sun Don't Shine Designs,The FAQ on the website says you can grind within an hour of the event starting
2:29,Craig Arthur,"@nicholas welna : could be worse, my kettle stopped working"
2:29,Callum Haines,Yo hey all !
2:29,Paul Hoxie,Oops.I already started boiling. Already messed up! haha!
2:30,Aqua _,exciting!
2:31,Quentin Deniau,"Hi, from FRANCE"
2:31,Drew Morone,just not not too long. up to a few hours
2:32,Feri F,hello from Vienna
2:33,FireVulpez,HOW MUCH COFFEE
2:34,Gareth G,Also in Toronto. I'm just using some beans I roasted myself yesterday. Not a big issue if their beans don't arrive
2:35,BARCASKILL,They smell so good
2:35,Tim Branton,Oops I ground
2:35,Bernhard Bermeitinger,"if I use tap water, should I add the water mix or not?"
2:36,Luke Swift,using volvic and already grinded :confused_face:
2:39,EqyFDcEkax9KYy,"messed up CDT vs BST, thought it started at 8 my time, not 9... ground an hour and a half ago."
2:40,Andrew Thomas Estrada,Yeeeahh I already ground & boiled haha
2:42,Joni Liang,wouldnt it be great if one of these was yemenia? lol
2:42,Nuga Studio,Indonesia
2:43,TheRensvind,Thanks @Joe Nash
2:43,Emil Boman,I'm gonna go inhale some coffee
2:43,Flaplo,Score chart is on the coffee tasting site
2:44,Kiko Fernandez,puntualidad británica?
2:44,Max Reacher,"anyone from cologne here? I did not get my tasting kit in time, unfortunately.. :("
2:44,Alastair Gow,Hi from Seville
2:44,월하랑,you can always watch this later when your kit arrives duh
2:45,M.F. Ü.,"We are waiting to RECON COFFEE FROM ISTANBUL,FROM KARAKOY"
2:45,Luke Swift,12g of coffee
2:45,Eduardo Nogueira,cade bora começa
2:45,Sun Don't Shine Designs,"Washington, DC!"
2:47,Drew Morone,12 GRAMS
2:48,Callum Haines,Hi from Cornwall!
2:49,Charlie Wow,do i have time to pe before we start lol
2:49,Enoon,I already ground it!
2:50,dl373,Hello from Tasmania!
2:52,Sofia Padilla,:3
2:55,dmajor1212,hello from Seattle
2:56,Eduardo Nogueira,vaaaai macho
2:57,jay9000,Hello from Hong Kong
3:00,Simon Fairman,Afternoon!
3:00,John Erwin Veneracion,good idea charlie
3:00,Joost L,"60gr per 1 liter. So if you got a cup with 200ml, grind 12gr"
3:01,Jasper,The coffees all smell amazing already! Can't wait to taste them! <3
3:01,Joe Nash,@Bernhard Bermeitinger do you know anything about the mineral composition of your water? Is it hard/soft?
3:01,Lee Houston,d and e smeell really interesting
3:01,turtletron,*** did not receive my coffee either *** from CA
3:02,Luke Swift,hi cornwall
3:02,Seth Marcell,baltimore in the :house:!
3:02,gamerman315,3 from the Bay area checking in. sooo early
3:03,Drew Morone,no time to pee! sorry!
3:03,Your Average Film,How many spoons of coffee to cups of water?
3:03,Harry T Dyer,60g to 1 litre
3:04,Andy Lawless,why 12? I measured 15. Aaaaargh
3:05,Valentin Nikolaus,when do you start? (from berlin)
3:05,Stefano Reboli,ops already ground here
3:06,Varian Foo,Eunice chowwwwww
3:07,slytown,I think at least one is a natural. Did you guys smell E?
3:07,greddoch95,tasting my own coffee? yes. still in the biggest one ever? oh yes.
3:07,Emily Hallam,hello from seattle! 7am!
3:08,bhoywonder,How are folk working out sachet to water before boiling for a smaller kettle?
3:08,Ivana Mabunay,Hi from Philippines
3:08,Maybelle Comedia,yay :))))))
3:09,Steven Hightop,"I want to participate, but the coffee hasn't arrived!!! Arrggghhh!!!"
3:10,Joe Walsh,Greetings from Belfast
3:11,mproffer321,hello from Kansas
3:11,Josh Tenenbaum,"Toronto, Canada in the house :smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:"
3:12,O Oglethorpe,he's late. lol
3:12,ethanator555,how many grams?
3:12,Hero Heeralal,Salam from India!
3:12,larama,gonna do it with some nescafe I got on the fridge
3:13,Levi Schafhauser,hi from hamburg
3:13,Gigi I,yaaay more from Hong Kong
3:13,Quentin Deniau,@Nuga Studio selamat datang :goodvibes:
3:14,Joe Price,WTF I HAVE ALREADY GROUND AND BOILED
3:14,Sascha,Looks like everybody gound too early
3:16,Antony Semonella,hello from whitstable
3:16,joon park,it's a bit late here for coffee
3:16,Leopold Fajtak,I ground as well ... the instruction sheet was kind of unspecific in that regard :/
3:17,ILikeHoodies,Aussie and Asian gang
3:18,Varian Foo,@eunice chow
3:18,Brent Cusher,The Cusher Family is here and excited!! Good morning from Oklahoma!
3:19,Damo b,Disappointed I completely forgot about this. :sad_but_relieved_face:
3:20,CJ Smith,y'all are weird people here huh
3:20,bowieknife,loving the aroma from d and e already!
3:21,Jack Chong,after grind it smells terrific
3:21,Will Humphreys,Yeah I can't be arsed faffing with the mineral suppliments
3:22,Bernhard Bermeitinger,"its very soft,"
3:24,vwvwvw,hi from Paris!
3:25,fanthomans2,D smells absolutely amazing.
3:27,Stingray,wowowowowoww
3:27,ILikeHoodies,It’s so late here
3:27,Wangla,"Hello from Mumbai, India! The kits were too expensive to ship here, so I'm just here to watch :crying_face:"
3:27,Andrew Thomas Estrada,"12g coffee, 200g water"
3:28,pixiedustshines,"Ottawa, Canada"
3:29,Karist,"There were multiple peolpe from cologne here already, seems you had bad luck"
3:29,Glenn Karlsen,I also grined. Pretty sure its fine. :slightly_smiling_face:
3:29,joon park,I'm going to stay up all night!
3:29,Mellow,hi
3:30,Rob Stein,Wish my kit had arrived. Will follow along for a bit before leaving prior to conclusions....
3:30,Simon McKenna,just turn your camera and microsphone off before your do!
3:32,slytown,E smells so funky. I never smelled that in a coffee before
3:32,Patrick Phillips,checking in from Florida
3:32,Amos Sharma,hello from @brewshark
3:32,Jalg Jing,anyknw know the grind settings on Wilfa uniform?
3:32,Thomas Kan,from . . . . . . . . . . . Hong Kong :party_popper:
3:34,Drew Morone,My coffee came 2 days ago! *WHEW*
3:34,Joost L,15 gr means you need a tad more water. 250ml
3:34,Kich 6,"Didn't get a kit, but excited to watch!"
3:34,Mark Stone,"hi from pinner, london"
3:34,RonanCodes,Does anyone have a 3.8 litre water vessel for all the water?
3:35,Steven S.,sample D smells like Yirgacheffe
3:35,Stefano Reboli,E ????????
3:36,Faris Mat Isa,hello. Malaysia here!
3:37,Karist,oooh
3:37,sh4dowchas3r,OK done a particilarly bad job of building the Griffin
3:38,Zaeem Arshad,Hello from down under
3:38,Jack Chong,E is so distinctive
3:39,I'M NOT A BARISTA,"So so so ready, baristas :beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes::beaming_face_with_smiling_eyes:"
3:39,slytown,Yea. D is the best so far
3:39,Alaina Lundy,I err... ground the coffee just now
3:40,Sohib AL-Gotimel,i ground half of my coffee
3:42,Mason Chambers,YES D is definitely a fruit bomb!
3:43,Shane Curran,ay oh
3:43,JamstaUK,Hey!
3:43,Sheron,Let’s go
3:44,Stefano Reboli,E smells crazy
3:44,Ei KaRumba,Go
3:44,Mason Chambers,can't wait
3:44,Stingray,KING IS HERE
3:45,Johannes Laudi,"HE""S HEREEEE"
3:45,Eric S,:)
3:45,Shane Curran,on that grind
3:47,Benedict Loweke,大家好~
3:47,Joni Liang,ITS HAPPENING!!!!!!!
3:48,TheJonathanmoore3,im ready and excited
3:48,Leonas Janušas,Hi from Lithuania!
3:49,L Pei,"Hi from Oakland, CA, USA!"
3:49,Joe Nash,@Bernhard Bermeitinger then you'll hopefully be fine to add it
3:49,elh93,"I can't grind, so I will have to do this later..."
3:49,Einar A,Hello James!
3:50,freezingsunbreaka,Huzzah!
3:50,kem,"no coffee, just watching"
3:52,Darryl Loandy,Indonesia here
3:52,Effie,hello!
3:52,lai shan yu,my first time:grinning_face_with_big_eyes:hi !everyone
3:52,Karist,Hewwo daddy James
3:52,Ebru Tasdelen,"Hello Karaköy, we are SOĞANLIK"
3:53,bowieknife,hi James!
3:53,Andrew Thomas Estrada,D and E smell so great
3:53,Mr Crapsalot,AAAAAAAAAAAAAAAAAAAAAAA
3:53,dl373,Coffee hasn’t arrived either so will partake on replay later
3:53,Francisco Costa,"Aveiro, Portugal"
3:54,Harry T Dyer,whoop!
3:54,Chanelle Naidoo,Hiiiiii
3:54,Your Average Film,HELLOOOOW
3:54,Ivana Mabunay,Woooh
3:54,DigitalFreude,Hi from Chicago
3:55,Tom Connery,its hereee
3:55,ILikeHoodies,Hiiii
3:56,Sun Don't Shine Designs,KING
3:57,redpandamaniacal,"Oh, no, I didn't make the winged horse thing."
3:57,Alexander Mielchen,Hello from Ireland. :)
3:57,Tom Connery,woo
3:57,meetlejuice,heeeeeyyyyy
3:58,slytown,Oh yeah!
3:58,D Leewigh,I HEARD COFFEE SNOBS ARE GREAT IN BED. HI
3:59,Nicolas Gonzalez,hello!
3:59,Sun Don't Shine Designs,lol
3:59,D R,I think todays the today I find out that there is such a thing as too much coffee
3:59,Zaldrich,hey
3:59,John Duggins,YAY!
4:00,Jason Cook,Greetings from Pittsburgh!
4:01,OowoO,Yassss
4:01,ILikeHoodies,大家好啊
4:02,Daniel Oliver,G'day from Sydney Australia :slightly_smiling_face:
4:02,David M,hello!
4:03,Jack Chong,come on
4:03,Nicko Harmanditya,"so sad, my kit haven't arrived :loudly_crying_face:"
4:04,Alan Robinson,wooo-hoo!
4:04,Dominique,Wow:rose::red_heart::smiling_face_with_hearts:
4:05,Maria Lopez,And we off!
4:05,michalis9,Oops I ground the first 2
4:06,benclark06,WOO
4:06,ᴘᴏᴘʀᴏᴄᴋ,Hi
4:06,Charlie Wow,so excited!!!
4:06,Bernhard Bermeitinger,"Thanks, I'll try"
4:07,Lora Oehlberg,"Canmore, Canada"
4:07,3 Dot,YEEEEEESSSSSSSSS
4:08,Samantha Bottomley,Hi James!
4:10,Sentrie,Magandang Gabi from the Philippines!!!
4:10,thegoodbadnugly82,And away we go!
4:11,Sarun Me,Hi :virtualhug:
4:11,JamstaUK,Volume++++
4:12,bowieknife,Timemore grind setting? I'm on 15 clicks
4:15,wT88,hello
4:15,Nan Ann,Hi ! :)
4:15,Sloth,haiii everyone
4:16,James Grinter,"@bhoywonder well, obviously it's sized to be added to a US gallon of water. So I took 1.2L out of the 5L I bought and mixed in that. You can't really make just a kettle's worth..."
4:18,Max,Hi
4:20,Johan Rutherhagen,Hello from ROAST Copenhagen!! :red_heart:
4:20,Benito Alvarez,Joining in from Spain... excited!!
4:22,A J,what is this?
4:22,Thaxxar,My coffee is still in the post :pensive_face:
4:23,Gigi I,hiiii
4:24,Your Average Film,GOOD MORNING FROM BRAZIL! Bom dia!
4:26,Gareth G,大家好！
4:28,ᴘᴏᴘʀᴏᴄᴋ,Hi :man_raising_hand:
4:29,ikaw,Zero coffee. Thanks james
4:31,okanocak1976,Hello james
4:32,Ross Burns,Hiding on my lunch break just to tune in!
4:34,Margo Rodriguez,Can’t hear you
4:37,pixiedustshines,Right to left... interesting
4:38,Ephraim Dulay,65 clicks on kplus
4:38,Newfiegal 78,Hi from Canada!
4:38,Kaleb,Oi Hoff! Lots of love from Canada homie! :red_heart:
4:42,Macarena.G,Buen dia desde Argentina!
4:43,Daenara M,Hi from sydney AU (where it's midnight sunday!)
4:48,Rick Hoppe,I can’t believe it! My schedule is actually synced up with this event! My joy knows no bounds!
4:49,Rob Rittenhouse,do we get a spoiler alert?
4:49,Nicolas Gonzalez,received coffee in HTX!
4:51,Mullica Z,I wish it was a coaster instead of a mascot model. :face_with_tears_of_joy:
4:54,queenrulez121,Let's gooooo!!
4:55,jay9000,I got 2
4:55,Star Jang,샘플을 아직 받지 못하였소 ㅠㅠ
4:55,gabriel,my coffee never came :(
4:55,D Leewigh,Who likes CLOTH FILTER?
4:56,Nathan,is ok to use more water (same ratio of 60g/1L)?
5:00,Harry T Dyer,no spoilers!
5:00,humcheemian,james Hoffman FtW
5:05,Zakaria Zbitou,hi everyone
5:06,Friendly Frog,你好啊:face_with_tongue:
5:13,Zakaria Zbitou,cheers from Paris
5:15,RadX,"Woah,James live,this day must be blessed.Big fan !"
5:16,ThePineappleEater,link isn't working
5:16,Jason Breen,"Didn't grab a pack, but keen to be here!"
5:18,Spanish John,i already drank them all
5:20,DaysWithAnton,Let's do this!
5:20,Phil Kan,I will have NO IDEA what anything is.. but I'll know if I like it!
